model,accuracy,macro_f1
logistic_regression,0.8863636363636364,0.8864000987288659
knn,0.8590909090909091,0.8591803885742904
svm_rbf,0.8727272727272727,0.8725336880692952
random_forest,0.8909090909090909,0.8908037993752279
